action_type,author.badges.0.icon_name,author.badges.0.title,author.id,author.images.0.height,author.images.0.id,author.images.0.url,author.images.0.width,author.images.1.height,author.images.1.id,author.images.1.url,author.images.1.width,author.name,message,message_id,message_type,time_in_seconds,time_text,timestamp
add_chat_item,,,UCsz1tb6gBjQ9YfEFJounNAQ,32,32x32,https://yt4.ggpht.com/ytc/AKedOLQSL5eQyaiuXpMppjnymdgITWRsPLR15P1QZR_i=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLQSL5eQyaiuXpMppjnymdgITWRsPLR15P1QZR_i=s64-c-k-c0x00ffffff-no-rj,64,SUN Car,なんで同じなのかは知らんけど同じ,CjsKGkNLcU9tSjM3aVBRQ0ZYN0J3Z1FkWVMwRHh3Eh1DSUxmdklyMGlQUUNGY1pDblFrZGd5WU9QZy0xOQ%3D%3D,text_message,4593.273,1:16:33,1636381258811238
add_chat_item,,,UCn2luLXkE-2LSzP8eYB4i9Q,32,32x32,https://yt4.ggpht.com/ytc/AKedOLT-kTuq9B0rIlnNKy2uybA0_9q-ICOD74cmiQ=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLT-kTuq9B0rIlnNKy2uybA0_9q-ICOD74cmiQ=s64-c-k-c0x00ffffff-no-rj,64,ちゃーちゃん,あれ？,CkUKGkNPaV9tcDM3aVBRQ0ZRTEJ3Z1FkcFVJQ2RREidDS1dMb3NQeWlQUUNGUUxxandvZE52QUFwUTE2MzYzODEyNTc1ODU%3D,text_message,4593.288,1:16:33,1636381258850308
add_chat_item,,,UC22ugRBfV6mgdKMUPS0x8jA,32,32x32,https://yt4.ggpht.com/ytc/AKedOLTzXGwg0RVPtT90vvev-CsBuXhsAGpI122YPkrU=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLTzXGwg0RVPtT90vvev-CsBuXhsAGpI122YPkrU=s64-c-k-c0x00ffffff-no-rj,64,TERUTERU坊主,同じ,CjoKGkNOSGVuWjM3aVBRQ0ZjOFdyUVlkN1FnSGl3EhxDTlNrZ0l6N2lQUUNGZkpCOVFVZC1Ea0x1QS0x,text_message,4593.375,1:16:33,1636381258903420
add_chat_item,,,UCSCMDIvRlXHkKPyfsbWYtCQ,32,32x32,https://yt4.ggpht.com/-kHfHZnFaX8VDBHheltQMgyUpu7X2-zs8HQz1KCLg8cQRt5jS-Swz2ojFUtBBlH49rf9C3vYbQ=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/-kHfHZnFaX8VDBHheltQMgyUpu7X2-zs8HQz1KCLg8cQRt5jS-Swz2ojFUtBBlH49rf9C3vYbQ=s64-c-k-c0x00ffffff-no-rj,64,siesuta / シエスタ,頑張れ！,CjoKGkNMbkhuNTM3aVBRQ0ZjOFdyUVlkN1FnSGl3EhxDT1Nrd3Vqc2lQUUNGYWxUaFFvZHRta01VQS0w,text_message,4593.402,1:16:33,1636381258933220
add_chat_item,,,UCHshtbP2BGY7avwwzzM6Dmw,32,32x32,https://yt4.ggpht.com/ytc/AKedOLTlVRUOJU2JfAg2t-dUlpGZv14SpH5ky8lj7794mQ=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLTlVRUOJU2JfAg2t-dUlpGZv14SpH5ky8lj7794mQ=s64-c-k-c0x00ffffff-no-rj,64,ゆーーかり,:virtualhug:,CjkKGkNQX3R0NTM3aVBRQ0ZYN0J3Z1FkWVMwRHh3EhtDUFBxNThyNGlQUUNGUUpDblFrZGFJY0d3dzA%3D,text_message,4593.794,1:16:33,1636381259331385
add_chat_item,,,UCw5IcMyaBnDdhYN7GgFkUvg,32,32x32,https://yt4.ggpht.com/ytc/AKedOLSDtwoVTl8PvJJydRZtNG40VC8LccHUccGN72EN_Q=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLSDtwoVTl8PvJJydRZtNG40VC8LccHUccGN72EN_Q=s64-c-k-c0x00ffffff-no-rj,64,みもこ,草,CjkKGkNJcU12NTM3aVBRQ0ZhckF3Z1FkNVN3QWtREhtDT3pFekt2cWlQUUNGV1paaFFvZE1pNEp1QTU%3D,text_message,4593.904,1:16:33,1636381259449895
add_chat_item,,,UCwmrb3W0lfVFru8YJgC30Mw,32,32x32,https://yt4.ggpht.com/ytc/AKedOLRGmbJtQb3P9E545untgulJA41MtULzUlrj5g=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLRGmbJtQb3P9E545untgulJA41MtULzUlrj5g=s64-c-k-c0x00ffffff-no-rj,64,yo mi,アンケート初案件！,CjsKGkNPYWc4WjM3aVBRQ0ZhMFRyUVlkQmVNSEpnEh1DTXJONl92dGlQUUNGUVZXS2dvZG52QUw2Zy04NQ%3D%3D,text_message,4594.785,1:16:34,1636381260271759
add_chat_item,,,UCiMEGglWnLBVRmcK_v8tQRQ,32,32x32,https://yt4.ggpht.com/ytc/AKedOLQULnpe7dgBZa6VKPyZqEemC8kDZ-iAijodHr-C=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLQULnpe7dgBZa6VKPyZqEemC8kDZ-iAijodHr-C=s64-c-k-c0x00ffffff-no-rj,64,田中80,ひろゆきってライブしかしてなくね？,CjoKGkNOclMtSjM3aVBRQ0ZUTER3Z1FkUTRnTUVBEhxDTF9ONkpMNmlQUUNGYVgyT0FZZGs2OE83US0x,text_message,4594.851,1:16:34,1636381260392822
add_chat_item,,,UComd3ucAsStZmjv-JjQlJfQ,32,32x32,https://yt4.ggpht.com/ytc/AKedOLQAMaY-kLyw3f80-uRapBaLyL-fSvbIj8kBqw=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLQAMaY-kLyw3f80-uRapBaLyL-fSvbIj8kBqw=s64-c-k-c0x00ffffff-no-rj,64,仲内瑛司,こんばんわー,CjoKGkNOX3RqSjc3aVBRQ0ZUQWRyUVlkZ3ZrSkNBEhxDS2Z3aDVmN2lQUUNGUVNYV0FvZHBQVUJVdy0w,text_message,4595.186,1:16:35,1636381260723985
add_chat_item,,,UCxYyRoI0bV5RJnusm3PVZwQ,32,32x32,https://yt4.ggpht.com/ytc/AKedOLQ8RVwg3PP_DCsXdyf-LbyULLOGfrQ2w6GT-QyW=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLQ8RVwg3PP_DCsXdyf-LbyULLOGfrQ2w6GT-QyW=s64-c-k-c0x00ffffff-no-rj,64,dookana,ほぼいっしょなので 同じに扱ってヨキ,CjoKGkNPNnRvNTc3aVBRQ0ZiNE1yUVlkOUpRQ1VnEhxDT21WeDVYNmlQUUNGY0xhVEFJZEQxb09FQS0w,text_message,4595.543,1:16:35,1636381261092639
add_chat_item,,,UCjdis1LOmkHjIZDf2_ABnCg,32,32x32,https://yt4.ggpht.com/ytc/AKedOLTqy180-aCtyu8fIrCZq578CKWmxwtwPAtOe8kHqw=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLTqy180-aCtyu8fIrCZq578CKWmxwtwPAtOe8kHqw=s64-c-k-c0x00ffffff-no-rj,64,南雲,ひろゆ筋肉:flexed_biceps:,CjoKGkNPSzVzSjc3aVBRQ0ZTSVk1d29kcXRjQk9BEhxDTlduc3ZuNmlQUUNGWkRFT0FZZEJsMEhfQS0x,text_message,4595.759,1:16:35,1636381261307163
add_chat_item,,,UCqVyJbikoO5EIAy-BciPU-w,32,32x32,https://yt4.ggpht.com/ytc/AKedOLT4JHwvQHI6Gb4NWXpHmB5m6YVQ6Zl5BYOGwJZ4xg=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLT4JHwvQHI6Gb4NWXpHmB5m6YVQ6Zl5BYOGwJZ4xg=s64-c-k-c0x00ffffff-no-rj,64,みるくちょこと,来ないよー,CkUKGkNPYU12Wjc3aVBRQ0ZhMFRyUVlkQmVNSEpnEidDT2oyX1p2MmlQUUNGZlRzT0FZZHFEc0wtdzE2MzYzODEyNjEzMjE%3D,text_message,4595.951,1:16:35,1636381261514388
add_chat_item,,,UCEI_p3MeS8NgYg9AkpM9knw,32,32x32,https://yt4.ggpht.com/ytc/AKedOLRABJAVO1_8DXJeDYjmYPiCONf2HrWlk2LR1A=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLRABJAVO1_8DXJeDYjmYPiCONf2HrWlk2LR1A=s64-c-k-c0x00ffffff-no-rj,64,m t,カンカンカンカンって工事してるのかな,CjkKGkNMVHB6Wjc3aVBRQ0ZhckF3Z1FkNVN3QWtREhtDUGFzbVBidmlQUUNGVnJHVEFJZDZTc0ViZzA%3D,text_message,4596.318,1:16:36,1636381261788367
add_chat_item,,,UCFR2Iqe3sVHEpi9IrdrmXbQ,32,32x32,https://yt4.ggpht.com/d1lYddhyMiZgVrpyy3koKI7TgoPOTkUryKHCyvsPcZymGAZtiCUwyvvtkOU6qdCDwSqEK39OOA=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/d1lYddhyMiZgVrpyy3koKI7TgoPOTkUryKHCyvsPcZymGAZtiCUwyvvtkOU6qdCDwSqEK39OOA=s64-c-k-c0x00ffffff-no-rj,64,ぽによ,いもいもいもいもいも,CjoKGkNLS3cwNTc3aVBRQ0ZaWER3Z1FkNEZBR3dBEhxDTXl2aFBQNWlQUUNGU2YzT0FZZEFka0I3dy01,text_message,4596.328,1:16:36,1636381261879360
add_chat_item,,,UCIskRY7Y1bxclJC7TFVphCQ,32,32x32,https://yt4.ggpht.com/Cl0C0UpFwSACZTtJSBq0-dYLg-TykTU5v8g1R6LaY9i65_PJxZdhlQPEHxXMAYe20WbkVktJMLE=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/Cl0C0UpFwSACZTtJSBq0-dYLg-TykTU5v8g1R6LaY9i65_PJxZdhlQPEHxXMAYe20WbkVktJMLE=s64-c-k-c0x00ffffff-no-rj,64,セローと非公式ワームとだんきち,高校数学,CjoKGkNMXzAycDc3aVBRQ0ZUTER3Z1FkUTRnTUVBEhxDSmJ5LXRqcmlQUUNGUm4xandvZEw2TUtyZy00,text_message,4596.465,1:16:36,1636381262002798
add_chat_item,,,UC0h2SqDOZEaz-xQgLbhWFow,32,32x32,https://yt4.ggpht.com/ytc/AKedOLQ3COS10n7v8_h41qz_SmYVcDi7RjQ15DnJZqQ1=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLQ3COS10n7v8_h41qz_SmYVcDi7RjQ15DnJZqQ1=s64-c-k-c0x00ffffff-no-rj,64,クロにとろも,徘徊家で答えてください,CjsKGkNKN0szcDc3aVBRQ0ZUQWRyUVlkZ3ZrSkNBEh1DTTZDbkxQeGlQUUNGVU4tV0FvZG10b0d3QS02NA%3D%3D,text_message,4596.522,1:16:36,1636381262062939
